Unnamed: 0,0000000000,Student ID,Session 22/09/2022,Session 29/09/2022,Session 06/10/2022,Session 13/10/2022,Session 20/10/2022,Session 27/10/2022,Session 03/11/2022,Session 10/11/2022,Session 17/11/2022,Session 24/11/2022,Session 01/12/2022,Session 08/12/2022,Session 15/12/2022,Session 22/12/2022,Session 29/12/2022,Session 05/01/2023,Session 12/01/2023,Session 19/01/2023,Session 26/01/2023,Session 02/02/2023,Session 09/02/2023,Session 16/02/2023,Session 23/02/2023,Session 02/03/2023,Session 09/03/2023,Session 16/03/2023,Session 23/03/2023,Session 30/03/2023,Session 06/04/2023,Session 13/04/2023,Session 20/04/2023,Session 27/04/2023,Session 04/05/2023,Session 11/05/2023,Session 18/05/2023,Session 25/05/2023,Session 01/06/2023,Session 08/06/2023,Session 15/06/2023,Session 22/06/2023,Session 29/06/2023,Session 06/07/2023,Session 13/07/2023,Session 20/07/2023,Session 27/07/2023,Session 03/08/2023,Session 10/08/2023,Session 17/08/2023,Session 24/08/2023,Session 31/08/2023,Session 07/09/2023,Session 14/09/2023,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
74,74,023087230A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,2.1,7.5,,,,,,,,2.9,,,,,,,4,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
75,75,023048305E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,5.7,13,,,,,,,,3.3,,,,,,,4,,,,,3.6,,,,,,,,,,4,,
76,76,023153864D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,2,7,,,,,,,,1.8,,,,,,,1,,,,,1.8,,,,,,,,,,4,,
77,77,0232608509,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,9.5,10.5,,,,,,,,5,,,,,,,8,,,,,5.9,,,,,,,,,,13.7,,
78,78,023130081B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,9.1,9,,,,,,,,12.2,,,,,,,13,,,,,ABS_EXAM,,,,,,,,,,14.6,,
79,79,0232403159,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,A,P,A,A,A,A,A,A,A,6,42.85714285714285,,13.4,14.5,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,15.2,,
80,80,0231480049,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,2.7,3.5,,,,,,,,1.5,,,,,,,1,,,,,2.2,,,,,,,,,,3,,
82,82,0222051043,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,A,P,A,P,A,A,A,A,A,6,42.85714285714285,,13.1,4,,,,,,,,7.9,,,,,,,9,,,,,12.8,,,,,,,,,,11.3,,
83,83,0231507438,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,,,10,,,,,,,,,,,,,,,13,,,,,16.1,,,,,,,,,,17,,
84,84,0231298605,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,8.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
