Student ID,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0191621038,ABS_EXAM_JUST,,,,15.5,,,,,8.3,,ABS_EXAM,,ABS_EXAM,,,ABS_EXAM,,,,,,,ABS_EXAM,,ABS_EXAM_JUST,,,,,ABS_EXAM,,,,
0231364350,,12.8,7,,,,,,,,14.4,,,,,,,18,,,,,17.9,,,,,,,,,,14.7,,
0211546145,,,,,,14,,10,,,,,17.7,,,,15.1,,,17.6,,,,,,,,ABS_EXAM,,,,,,16.3,
0221705608,17.5,,,,18,,,,,,,16.5,,17,,,,,,,,,,12.4,,14,,,,,,,,,
0230174611,,13.8,8.5,,,,,,,,7.8,,,,,,,10,,,,,7.6,,,,,,,,,,16.2,,
021154835B,,8,,,,16.5,,ABS_EXAM,,ABS_EXAM,,,9,10,,,6.9,8,,14.2,,,,7.5,,9,,6.5,,,,,,15,
020074782F,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
0222005803,,,,,5.5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
0220415205,11.6,,,,20,,,,,,,15.5,,12,,,,,,,,,,10.3,,12,,,,,,,,,
0220502202,7.4,,,,0,,,,,,,8,,6,,,,,,,,,,7.6,,11,,,,,,,,,
023087230A,,2.1,7.5,,,,,,,,2.9,,,,,,,4,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
023122492C,,20,15.5,,,,,,,,17.1,,,,,,,20,,,,,19.6,,,,,,,,,,16.2,,
023240691E,,6,10,,,,,,,,6.5,,,,,,,3,,,,,7.3,,,,,,,,,,12.5,,
0231275945,,11.5,13,,,,,,,,9.3,,,,,,,15,,,,,6.1,,,,,,,,,,16.2,,
021137204A,3.2,10,,,0,,,,,8.7,,ABS_EXAM,8.5,7,,,6.5,6,4,16.2,,,,10,,5,,ABS_EXAM,,,4,,,3.3,
0211428539,,,,,,16.5,,ABS_EXAM,,,,,8,12,,,15.4,,,15.4,,,,,,,,ABS_EXAM,,,,,,17.3,
023067524C,,,7.5,,,,,,,,ABS_EXAM,,,,,,,6,,,,,,,,,,,,,,,4,,
0210268500,,,,,,17.5,,,,,,,15.6,,,,17.9,,,19,,,,,,,,14,,,,,,18.7,
0230360925,,ABS_EXAM,4,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
0231697511,,7.1,7,,,,,,,,3.1,,,,,,,11,,,,,6.7,,,,,,,,,,14.5,,
023011922D,,3.2,7.5,,,,,,,,6.9,,,,,,,3,,,,,5.4,,,,,,,,,,14.3,,
023259900B,,10,5.5,,,,,,,,12.6,,,,,,,7,,,,,2.6,,,,,,,,,,13.9,,
023064755A,,8,4,,,,,,,,8.3,,,,,,,7,,,,,10.1,,,,,,,,,,15.8,,
023244390C,,ABS_EXAM,7.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,10,,,,,,,,,,ABS_EXAM,,
0200838753,,,,,,,,6 *,,,,,8.9,,,,6.6,,,14.4,,,10,7.7,ABS_EXAM,,,ABS_EXAM,,,,8,,13.9,
0210857849,,,,,,0,,,,,,,ABS_EXAM,,,,ABS_EXAM,,,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,ABS_EXAM,
023018390D,,19.8,15.5,,,,,,,,19,,,,,,,20,,,,,13,,,,,,,,,,17.3,,
0211277704,ABS_EXAM,,,,0,,,,,ABS_EXAM,,ABS_EXAM,,7,,,,,,,,,,6.9,,7,,,,,,,,,
0191241128,,,,,,14.5,,4,,,,,12.7,,,15.5,,,,15.8,,,,,,,12,0.5,15.8,,,ABS_EXAM,,3.3,
0211442503,,,,,,17,,,,,,,15.4,,,,13.7,,,16.7,,,,,,,,4,,,,,,14.7,
022158614A,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
0231733556,,15.7,15.5,,,,,,,,15,,,,,,,15,,,,,14.1,,,,,,,,,,17.7,,
0221823214,11.9,,,,16.5,,,,,,,13,,12,,,,,,,,,,12.1,,14,,,,,,,,,
0221943339,17.3,,,,18.5,,,,,,,12,,16,,,,,,,,,,15.8,,15,,,,,,,,,
023017440F,,3.2,8,,,,,,,,9.3,,,,,,,6,,,,,13,,,,,,,,,,15,,
022041284E,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
0230192502,,9.1,6,,,,,,,,11.4,,,,,,,12,,,,,10,,,,,,,,,,15.3,,
0231973139,,18,13,,,,,,,,15.6,,,,,,,19,,,,,15.6,,,,,,,,,,16.3,,
021006922C,,,,,,16,,6,,,,,13.2,,,,15.1,,,17.6,,,,,,,,4.5,,,,,,18.1,
020148774A,,,,,,,,8,,,,,,,,,11.7,,,,,ABS_EXAM,,,,,ABS_EXAM,,13.5,,,,,,
0232625956,ABS_EXAM,,,,19,ABS_EXAM,,14,,,,ABS_EXAM_JUST,15.4,ABS_EXAM,,,12.1,,,18.8,,,,ABS_EXAM,,,,12.5,,,,,,,
0222086421,,,,,18.5,,,,,,,,,,,,,,,,,,,16.1,,18,,,,,,,,,
0210490455,,,,,0,,,ABS_EXAM,,,,,17.4,,,,12.2,,,10,,,,,,,,ABS_EXAM,,,,,,14.2,
0231954844,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
0230218847,,11.8,11,,,,,,,,7.8,,,,,,,11,,,,,14,,,,,,,,,,14.9,,
022012681F,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
0230204115,,16.8,14.5,,,,,,,,14.3,,,,,,,17,,,,,13.6,,,,,,,,,,16,,
023216914D,,5.7,12.5,,,,,,,,9.5,,,,,,,7,,,,,8.8,,,,,,,,,,13.5,,
023200720A,,17.5,10,,,,,,,,12.4,,,,,,,17,,,,,14.2,,,,,,,,,,16.6,,
0210242822,,,,,,16,,ABS_EXAM,,,,,13.4,8,,,,,,16.2,,,3.1,,,5,,ABS_EXAM,,,,,,11.1,
023237761C,,ABS_EXAM,13,,,,,,,,ABS_EXAM,,,,,,,6,,,,,ABS_EXAM,,,,,,,,,,16.2,,
021060141F,,,,,,16.5,,,,,,,15.2,,,,14.4,,,17.8,,,,,,,,ABS_EXAM,,,,,,16.3,
0230901309,,20,15,,,,,,,,17.4,,,,,,,20,,,,,18.3,,,,,,,,,,17.3,,
0232548356,,19.3,9,,,,,,,,8.3,,,,,,,12,,,,,12,,,,,,,,,,16.4,,
0232403159,,13.4,14.5,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,15.2,,
021006942E,,,,10,0 *,,,,,,,,,,,,,,,,,,,,,4,,,,11.7,,,,,
0210424407,,,,,,16,,,,,,12.5,11.6,,,,7.7,,,17.2,,,,7.9,,,,0,,,,,,15,
0232519054,,12.3,13.5,,,,,,,,10.5,,,,,,,13,,,,,11.6,,,,,,,,,,17.3,,
022148763B,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
0230147929,,18.5,10.5,,,,,,,,12.8,,,,,,,17,,,,,13.7,,,,,,,,,,17.3,,
0232454919,,ABS_EXAM,7,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,13.4,,
023111832D,,7.2,6.5,,,,,,,,7.8,,,,,,,10,,,,,7.9,,,,,,,,,,16,,
023254120F,,13.7,14,,,,,,,,10.9,,,,,,,14,,,,,15.3,,,,,,,,,,11.5,,
0222051043,,13.1,4,,,,,,,,7.9,,,,,,,9,,,,,12.8,,,,,,,,,,11.3,,
0221986060,11.9,,,,3.5,,,,,,,ABS_EXAM,,5,,,,,,,,,,8,,11,,,,,ABS_EXAM,,,,
0231990525,,9.4,8,,,,,,,,5.5,,,,,,,8,,,,,6.2,,,,,,,,,,12.1,,
0232608509,,9.5,10.5,,,,,,,,5,,,,,,,8,,,,,5.9,,,,,,,,,,13.7,,
0232528451,,10.9,ABS_EXAM,,,,,,,,7.1,,,,,,,14,,,,,8.5,,,,,,,,,,14.8,,
022197615E,10,,,,19,,,,,11.8,,ABS_EXAM,,13,,,,,,,,,,12.5,,11,,,,,ABS_EXAM,,,,
021157745B,,6.3,,,,,,,,,,,,7,,,,,,,,,,6.1,,,,,,,3,,,,
0231567248,,20,14.5,,,,,,,,20,,,,,,,20,,,,,19.4,,,,,,,,,,19.3,,
0211657614,,12,4,,,,,,,,13.8,,,,,,,8,,,,,10.7,,,,,,,,,,14.1,,
022191755A,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
0222128643,,5.8,14.5,,,,,,,,ABS_EXAM,,,,,,,10,,,,,2,,,,,,,,,,11.2,,
0231298605,,ABS_EXAM,8.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
0230315847,,12,8,,,,,,,,8.8,,,,,,,8,,,,,7.4,,,,,,,,,,14.2,,
0230999717,,3.3,16,,,,,,,,6.3,,,,,,,5,,,,,6.1,,,,,,,,,,3.7,,
0231728221,,ABS_EXAM,10.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
0222056418,11.5,,,,15,,,,,7.8,5.6,11,,12,,,,,5.5,,,,6.6,6.2,,6,,,,,3,,,,
023048305E,,5.7,13,,,,,,,,3.3,,,,,,,4,,,,,3.6,,,,,,,,,,4,,
022112732D,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
022173540F,16,,,,17.5,,,,,,,15.5,,13,,,,,,,,,,8,,11,,,,,,,,,
022122100C,12.2,,,,17.5,,,,,,,11.5,,10,,,,,,,,,,8,,12,,,,,,,,,
023238892C,,19,11.5,,,,,,,,14.8,,,,,,,17,,,,,17.4,,,,,,,,,,17.2,,
0220389426,10,,,10.5,,,,,,,,10.5,,10,,,,,10,,,,,7.6,,10,,,,,,,,,
0232590719,,20,11,,,,,,,,12.8,,,,,,,17,,,,,14.4,,,,,,,,,,14.6,,
0221666404,13.6,4,,,19.5,,,,,7,,10,,11,,,,ABS_EXAM,,,,,,8,,9,,,,,,,,,
021152110D,,0,,,,18,,,,,,,13.5,,,,13.2,,,16.6,,,,,,,,ABS_EXAM,,,,,,16.3,
0211109443,,,,,,19,,,,,,,15.1,,,,8.6,,ABS_EXAM,18.2,,,,,,,,12,,,,,,16.1,
023256040D,,9.6,6,,,,,,,,6.2,,,,,,,10,,,,,5.7,,,,,,,,,,14.8,,
021137093F,,,,,,13.5,,11,,,,,11.9,,,,16.1,,,17.8,,,,,,,,14,,,,,,17.3,
0232456125,,ABS_EXAM,13,,,,,,,,10,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,14.3,,
0180986012,,,,,,,11.5,10,missing,,,,,,,,14.2,,,18.4,ABS_EXAM,,,ABS_EXAM,,,missing,14.5,,ABS_EXAM_JUST,,,,,
0221858451,16.2,,,14,16.5,,,,,,,13.5,,12,,,,,,,,,,15.5,,18,,,,,,,,,
0232348219,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,1.8,,,,,,,,,,ABS_EXAM,,
0220291820,13.4,,,,17,,,,,,,13,,14,,,,,,,,,,13.6,,10,,,,,,,,,
023180873E,,,10,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,11.3,,
020176934D,,,,,,,,,,,,,,1,ABS_EXAM,,,,,,,,,ABS_EXAM,,,,,,,,,,,
0231777024,,,7.5,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,11.9,,
0232586954,,ABS_EXAM_JUST,ABS_EXAM,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,ABS_EXAM_JUST,,
022188714D,,,,,19.5,,,,,,,,,16,,,,,,,,,,12.3,,12,,,,,,,,,
0232453107,,ABS_EXAM_JUST,8,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,13.3,,
0221929813,,,,,19.5,,,,,,,ABS_EXAM,,11,,,,,,,,,,8,,10,,,,,,,,,
0201762509,,,,,,,17,,,,,,,,,,,,,,,,,,ANNULATION,,,10,,,,,,ANNULATION,
0232421751,,10,10,,,,,,,,7.3,,,,,,,16,,,,,6.4,,,,,,,,,,15.6,,
0232374760,,16.2,12.5,,,,,,,,17.8,,,,,,,17,,,,,14.4,,,,,,,,,,17.3,,
022200811A,13.7,,,,19.5,,,,,,,11.5,,11,,,,,,,,,,15.1,,15,,,,,,,,,
0232637609,,4.1,12.5,,,,,,,,5,,,,,,,6,,,,,4.1,,,,,,,,,,12.8,,
023010972F,,13.7,12.5,,,,,,,,6.3,,,,,,,15,,,,,10.7,,,,,,,,,,16.7,,
0232478543,,4.5,13.5,,,,,,,,6.2,,,,,,,9,,,,,10.6,,,,,,,,,,13.5,,
0221276350,16.3,,,,20,,,,,,,15,,14,,,,,,,,,,13.3,,14,,,,,,,,,
0221390035,17.2,,,,20,,,,,,,19,,19,,,,,,,,,,17.2,,18,,,,,,,,,
0221081548,13.1,,,,8.5,,,,,,14.1,10,,15,,,,,,,,,,12.5,,11,,,,,7,,,,
0232378323,,4.2,6.5,,,,,,,,2.2,,,,,,,5,,,,,,,,,,,,,,,11.6,,
0232434610,,7.4,6,,,,,,,,2.8,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,12.2,,
0200186138,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,
023255060C,,10,10.5,,,,,,,,8.2,,,,,,,16,,,,,10,,,,,,,,,,14.5,,
023111691F,,,,,3.5,,,14,,,,,15.1,,,,,,,16.2,,,,,,17,,,,,,,,12.9,
0231507438,,,10,,,,,,,,,,,,,,,13,,,,,16.1,,,,,,,,,,17,,
0230108220,,12.9,9,,,,,,,,10.3,,,,,,,16,,,,,14.8,,,,,,,,,,17,,
022029815F,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
023087763F,,4.8,13.5,,,,,,,,7,,,,,,,4,,,,,10.1,,,,,,,,,,14.1,,
023249552B,,17,11.5,,,,,,,,14.7,,,,,,,14,,,,,14.1,,,,,,,,,,17,,
023246642B,,0,,,,,,,,,ABS_EXAM,,,,,,,0,,,,,0,,,,,,,,,,0,,
023138314A,,14.6,12,,,,,,,,8.4,,,,,,,11,,,,,7.6,,,,,,,,,,16.7,,
0220224526,17.4,,,,19,,,,,,,19,,20,,,,,,,,,,17,,20,,,,,,,,,
0200906350,,,,,,,,2,,,,,,14,,,10.6,,,,,,,8,,,,,,,,,,,
023153864D,,2,7,,,,,,,,1.8,,,,,,,1,,,,,1.8,,,,,,,,,,4,,
0232528350,ABS_EXAM,ABS_EXAM,ABS_EXAM,,15.5,,,,,,ABS_EXAM,ABS_EXAM,,ABS_EXAM,,,,ABS_EXAM,,,,,,18,,16,,,,,,,ABS_EXAM,,
0221933134,,,,,20,,,,,,,,,17,,,,,,,,,,17.6,,15,,,,,,,,,
023159503B,,10,13,,,,,,,,5.1,,,,,,,ABS_EXAM,,,,,7.8,,,,,,,,,,14,,
023130081B,,9.1,9,,,,,,,,12.2,,,,,,,13,,,,,ABS_EXAM,,,,,,,,,,14.6,,
0220619006,13.4,,,,18,,,,,,11.9,ABS_EXAM,,15,,,,,,,,,,13.1,,9,,,,,11,,,,
023238264E,,12.5,14.5,,,,,,,,14.1,,,,,,,11,,,,,12.4,,,,,,,,,,14.7,,
0210831908,,7.1,13,,,,,,,,6.2,,,,,,,4,,,,,3.2,,,,,,,,,,3.3,,
0231480049,,2.7,3.5,,,,,,,,1.5,,,,,,,1,,,,,2.2,,,,,,,,,,3,,
